greyscale        Greyscale
red-yellow       Red-Yellow
blue-lightblue   Blue-Light blue
red              Red
blue             Blue
green            Green
yellow           Yellow
pink             Pink
hot              Hot
cool             Cool
copper           Copper
hsv              HSV
retino           Freesurfer HSV
render1          Render1
render1t         Render1t
render2          Render2
render2t         Render2t
render3          Render3
subcortical      MGH Sub-cortical
cortical         MGH Cortical
random           Random
